ウカ,うか,506,359,17,-6.6916
ウカビ,浮かび,759,759,432,-6.2404
ウカブ,浮かぶ,754,754,432,-6.2376
ウカベ,浮かべ,757,757,432,-6.2364
ウケ,受け,625,625,258,-5.4817
ウケツギ,受け継ぎ,728,728,481,-6.4399
ウケツグ,受け継ぐ,723,723,481,-6.4501
ウケツゲ,受け継げ,726,726,481,-6.3737
ウケル,受ける,619,619,43,-5.8213
ウケロ,受けろ,623,623,43,-5.7967
ウゴキ,動き,689,689,471,-6.1598
ウゴク,動く,679,679,471,-6.1192
ウゴケ,動け,685,685,471,-6.1192
ウシナイ,失い,832,832,43,-6.6800
ウシナウ,失う,817,817,43,-6.6365
ウシナエ,失え,826,826,43,-6.6308
ウタイ,歌い,832,832,478,-6.6026
ウタウ,歌う,817,817,478,-6.5590
ウタエ,歌え,826,826,478,-6.5533
ウチ,うち,1313,1313,387,-5.4155
ウチ,打ち,743,743,211,-5.7321
ウツ,打つ,738,738,379,-5.7743
ウツクシ,美し,45,45,307,-6.1400
ウツクシ,美し,39,39,307,-6.2148
ウツクシイ,美しい,43,43,307,-6.4048
ウツクシカレ,美しかれ,48,48,307,-6.1225
ウツクシキ,美しき,44,44,307,-6.1231
ウツクシク,美しく,51,51,307,-6.2849
ウツクシュウ,美しゅう,49,49,307,-6.1225
ウテ,打て,741,741,379,-5.7465
ウマク,うまく,35,35,48,-6.5035
ウマレ,生まれ,625,625,97,-6.3995
ウマレル,生まれる,619,619,364,-6.7177
ウマレロ,生まれろ,623,623,364,-6.6931
ウル,うる,942,942,287,-3.8098
ウル,うる,637,637,287,-4.5675
ウレシ,嬉し,45,45,17,-4.6525
ウレシ,嬉し,39,39,17,-4.7273
ウレシイ,嬉しい,43,43,17,-4.9173
ウレシイ〜,嬉しい〜,43,43,17,-5.8032
ウレシイッ,嬉しいっ,43,43,17,-5.8135
ウレシイー,嬉しいー,43,43,17,-5.8156
ウレシカレ,嬉しかれ,48,48,17,-4.6350
ウレシキ,嬉しき,44,44,17,-4.6356
ウレシク,嬉しく,51,51,17,-4.7974
ウレシクッ,嬉しくっ,51,51,17,-5.6975
ウレシュウ,嬉しゅう,49,49,17,-4.6350
ウレシー,嬉しー,39,39,17,-5.6280
ウレフ,憂ふ,657,657,501,-6.4402
ウン,うん,3,3,437,-6.1209