グアイ,具合,1285,1285,48,-9.6766
グアテマラ,グアテマラ,1294,1294,272,-9.7591
グアム,グアム,1293,1293,410,-9.8646
グイ,食い,1298,1298,499,-10.1783
グウゼン,偶然,1314,1314,161,-8.0328
グサ,ぐさ,586,586,501,-9.7089
グザイ,具材,1288,1288,75,-10.2121
グシロ,ぐしろ,588,588,501,-9.6295
グス,ぐす,584,584,150,-9.1115
グスタフ,グスタフ,1290,1290,329,-9.8658
グスル,ぐする,583,583,501,-9.6332
グセ,ぐせ,586,586,54,-9.2582
グタイ,具体,1285,1285,468,-9.2240
グタイテキ,具体的,1288,1288,468,-8.6630
グタイテキ,具体的,1285,1299,17,-9.7175
グタイテキナ,具体的な,1285,454,17,-9.8423
グチ,愚痴,1285,1285,161,-10.2002
グチャグチャ,ぐちゃぐちゃ,1287,1287,501,-10.1307
グッスリ,ぐっすり,1282,1282,418,-9.6371
グッズ,グッズ,1285,1285,442,-9.2020
グッタリ,ぐったり,1282,1282,418,-10.3047
グット,グッと,1281,1281,113,-9.4234
グット,ぐっと,1281,1281,48,-9.7097
グム,含む,762,762,481,-9.6888
グライ,ぐらい,332,332,48,-3.2748
グライニ,ぐらいに,332,151,17,-10.1606
グライノ,ぐらいの,332,368,17,-9.7135
グラスゴー,グラスゴー,1293,1293,138,-10.3265
グラム,グラム,1300,1300,221,-8.8009
グラム,グラム,1290,1290,221,-9.6079
グランドスラム,グランドスラム,1289,1289,7,-10.1020
グリーン,グリーン,1285,1285,347,-9.9627
グリーンランド,グリーンランド,1293,1293,272,-10.1231
グルグル,ぐるぐる,1281,1281,60,-9.2406
グルグル,グルグル,1281,1281,60,-10.2503
グルジア,グルジア,1294,1294,19,-9.4406
グループ,グループ,1285,1285,378,-7.9955
グループノ,グループの,1285,368,17,-10.1933
グレイ,GLAY,1289,1289,67,-10.0716
グレードワン,G1,1288,1288,245,-10.2190
グンジ,軍事,1285,1285,53,-9.4974
グンジ,郡司,1290,1290,108,-10.2103
グンジン,軍人,1285,1285,123,-9.8374
グンタイ,軍隊,1285,1285,53,-9.7761
グンダン,軍団,1285,1285,53,-10.0661
グンナイ,郡内,1290,1290,480,-9.8612
グンマ,群馬,1293,1293,473,-9.2676
グンマケン,群馬県,1293,1293,397,-8.5704
グーグル,Google,1288,1288,363,-9.4078
グーグル,グーグル,1292,1292,363,-9.6170