モウ,もう,1272,1272,468,-3.4032
モウ,もう,1281,1281,468,-5.0581
モウシワケ,申し訳,1284,1284,17,-5.6127
モウスコシ,もう少し,1282,1282,48,-7.0899
モシ,もし,1281,1281,468,-6.4644
モシクハ,もしくは,556,556,327,-4.9616
モタラシ,もたらし,735,735,258,-7.1704
モタラス,もたらす,731,731,43,-6.9793
モタラセ,もたらせ,734,734,43,-6.9720
モチ,持ち,743,743,481,-3.4191
モチ,もち,743,743,258,-5.5199
モチイ,用い,625,625,52,-6.5084
モチイル,用いる,619,619,481,-6.4882
モチイロ,用いろ,623,623,481,-6.4636
モチロン,もちろん,1281,1281,468,-6.0242
モット,もっと,1281,1281,48,-5.8820
モットモ,最も,1281,1281,356,-6.0710
モツ,持つ,738,738,481,-3.4210
モツ,もつ,738,738,481,-5.2001
モツ,保つ,738,738,481,-6.4647
モテ,持て,741,741,481,-3.3932
モテ,もて,741,741,247,-5.5758
モトサク,本作,1290,1290,322,-6.0962
モトヅキ,基づき,689,689,456,-6.1874
モトヅク,基づく,679,679,456,-6.1468
モトヅケ,基づけ,685,685,456,-6.1467
モトメ,求め,625,625,52,-6.7382
モトメル,求める,619,619,43,-6.6417
モトメロ,求めろ,623,623,43,-6.6171
モトモト,元々,1282,1282,468,-6.7328
モトモト,もともと,1282,1282,468,-6.9559
モドシ,戻し,735,735,249,-7.0813
モドス,戻す,731,731,481,-7.0397
モドセ,戻せ,734,734,481,-7.0323
モドリ,戻り,788,788,471,-7.0628
モドル,戻る,772,772,471,-6.8952
モドレ,戻れ,784,784,471,-7.0515
モノ,もの,1310,1310,468,-3.9802
モノノ,ものの,319,319,282,-3.1427
モライ,もらい,1274,1274,445,-3.2108
モライ,もらい,832,832,438,-7.0629
モラウ,もらう,1254,1254,438,-3.2061
モラウ,もらう,817,817,438,-7.0193
モラエ,もらえ,1266,1266,268,-3.3456
モラエ,もらえ,930,930,268,-7.0090
モラエ,もらえ,826,826,438,-7.0136
モラエル,もらえる,919,919,445,-6.8424
モン,もん,285,285,437,-3.8884
モン,もん,1310,1310,437,-6.5423
モンダイ,問題,1284,1284,468,-3.2769