ヲイレ,を入れ,156,625,17,-8.6275
ヲイレテ,を入れて,156,307,17,-9.1034
ヲウケ,を受け,156,625,17,-8.1889
ヲウケタ,を受けた,156,435,17,-9.0497
ヲウケテ,を受けて,156,307,17,-9.1555
ヲオ,をお,156,560,17,-8.7289
ヲオコナウ,を行う,156,819,17,-8.8468
ヲオシエ,を教え,156,625,17,-8.7148
ヲオシエテ,を教えて,156,307,17,-8.7691
ヲカイテ,を書いて,156,307,17,-9.1825
ヲカケ,をかけ,156,625,17,-8.9572
ヲカンガエ,を考え,156,625,17,-8.6747
ヲカンガエテ,を考えて,156,307,17,-9.0641
ヲカンガエル,を考える,156,619,17,-9.1264
ヲカンジ,を感じ,156,625,17,-8.7230
ヲカンジル,を感じる,156,619,17,-9.1944
ヲサ,をさ,156,605,17,-8.8473
ヲサガシ,を探し,156,735,17,-9.2124
ヲシ,をし,156,610,17,-6.9630
ヲシタ,をした,156,435,17,-8.5088
ヲシテ,をして,156,307,17,-7.3522
ヲシテイ,をしてい,156,930,17,-8.6358
ヲシテイル,をしている,156,919,17,-8.5716
ヲシヨウ,を使用,156,1283,17,-9.0227
ヲスル,をする,156,599,17,-7.7924
ヲタベ,を食べ,156,625,17,-9.0144
ヲダシ,を出し,156,735,17,-8.7452
ヲチュウシン,を中心,156,1285,17,-9.0283
ヲツウジテ,を通じて,253,253,356,-3.5251
ヲツカウ,を使う,156,817,17,-9.0069
ヲツカッテ,を使って,156,307,17,-8.6545
ヲツクッテ,を作って,156,307,17,-8.9909
ヲツクル,を作る,156,772,17,-8.8525
ヲツケ,をつけ,156,625,17,-8.9731
ヲトオシテ,を通して,250,250,356,-3.5756
ヲハジメ,を始め,156,625,17,-9.1176
ヲヘ,を経,156,625,17,-9.2012
ヲミ,を見,156,625,17,-7.6312
ヲミタ,を見た,156,435,17,-9.1183
ヲミテ,を見て,156,307,17,-8.0503
ヲミル,を見る,156,619,17,-8.5405
ヲメグッテ,をめぐって,243,243,43,-4.1633
ヲモチマシテ,をもちまして,247,247,501,-5.2105
ヲモッテ,をもって,248,248,494,-3.8581
ヲモッテ,を以て,249,249,193,-4.2414
ヲモッテ,を持って,156,307,17,-8.2892
ヲモツ,を持つ,156,738,17,-8.5519
ヲヤッテ,をやって,156,307,17,-9.2019
ヲヨンデ,を読んで,156,308,17,-9.2119
ヲリヨウ,を利用,156,1283,17,-9.0512